ID,Name,Link,EIN,Overall Rating,Program Expenses,Administrative Expenses,Fundraising Expenses,Fundraising Efficiency,Working Capital Ratio (years),Program Expenses Growth,Liabilities to Assets,Independent Voting Board Members,No Material diversion of assets,Audited financials prepared by independent accountant,Does Not Provide Loan(s) to or Receive Loan(s) From related parties,Documents Board Meeting Minutes,Provided copy of Form 990 to organization's governing body in advance of filing,Conflict of Interest Policy,Whistleblower Policy,Records Retention and Destruction Policy,CEO listed with salary,Process for determining CEO compensation,Board Listed / Board Members Not Compensated,Donor Privacy Policy,Board Members Listed,Audited Financials,Form 990,Key staff listed
76,Action on Smoking and Health - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8247,13-2603590,90.77,0.8310,0.0940,0.0730,0.10,1.8,-0.1880,0.0320,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
77,ActionAid USA - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8757,52-2277575,92.44,0.8260,0.0630,0.1100,0.12,0.56,0.2500,0.0820,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
78,Activated Ministries - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10184,33-0857142,57.3,0.5570,0.1140,0.3270,0.39,0.33,-0.0990,0.0860,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
79,Acton Institute for the Study of Religion and Liberty - MI,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6986,38-2926822,91.9,0.8520,0.0680,0.0780,0.08,1.55,0.0480,0.0150,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
80,Actors and Others for Animals - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6457,95-2783139,85.27,0.8980,0.0540,0.0460,0.03,4.76,0.0050,< 0.1%,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
81,The Actors Fund - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5994,13-1635251,90.63,0.8470,0.0530,0.0980,0.12,1.34,0.0270,0.4420,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
82,Actors Playhouse - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15381,65-0060167,62.56,0.9380,0.0130,0.0480,0.24,0.27,0.0310,0.1780,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
83,Actors Theatre of Louisville - KY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8693,61-0645030,89.8,0.8220,0.1320,0.0440,0.11,1.4,0.0180,0.1630,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
84,Acumen - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11774,13-4166228,95.27,0.7670,0.1230,0.1090,0.08,6.27,0.0820,0.0180,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
85,AD Players - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17282,74-1669271,63.24,0.4550,0.3920,0.1510,0.17,4.61,0.0750,0.6300,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
86,Adaptive Sports Center - CO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14377,84-1063447,96.66,0.8670,0.0370,0.0950,0.07,2.69,0.0960,0.1300,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
87,Adaptive Sports Foundation - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12126,14-1823155,91.27,0.7730,0.1200,0.1050,0.11,2.83,0.0250,0.1110,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
88,Adelante Mujeres - OR,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15547,03-0473181,92.24,0.8650,0.0600,0.0730,0.08,0.87,0.3520,0.3140,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
89,The Adirondack Council - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9997,14-1594386,97.45,0.8280,0.1310,0.0390,0.02,3.6,0.0760,0.0260,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
90,Adirondack Historical Association - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5018,13-5635801,89.15,0.8220,0.1300,0.0460,0.06,7.38,0.0550,0.0940,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
91,Adirondack Mountain Club - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10912,15-0586270,85.38,0.7820,0.1320,0.0840,0.23,0.6,0.0200,0.3420,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
92,Adler Aphasia Center - NJ,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13108,02-0687863,94.51,0.9070,0.0620,0.0290,0.02,1.91,0.0230,0.0170,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
93,Adler Planetarium - IL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3213,36-6210902,84.58,0.8110,0.0990,0.0880,0.16,1.28,0.0080,0.5570,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
94,Administer Justice - IL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13389,36-4348917,86.67,0.9550,0.0210,0.0230,0.02,0.05,-0.0840,0.0700,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
95,The Admiral Nimitz Foundation - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10444,74-1492692,96.37,0.8260,0.0800,0.0930,0.10,2.94,0.2610,0.0120,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
96,Adolescent Counseling Services - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12879,51-0192551,88.81,0.8540,0.0490,0.0950,0.12,0.73,-0.0120,0.0360,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
97,Adopt-A-Native-Elder Program - UT,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10404,87-0490211,91.01,0.8100,0.1240,0.0650,0.07,0.39,0.0180,0.0310,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
98,Adopt A Pet.com - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11882,95-4761276,77.91,0.7440,0.1660,0.0880,0.07,0.9,-0.0530,0.2670,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
99,AdoptAClassroom.org - MN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11927,65-0828272,93.98,0.8710,0.0620,0.0660,0.06,0.91,0.0500,0.0350,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
100,Adopt-A-Family - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10645,59-2471253,95,0.8700,0.0670,0.0610,0.06,1.46,0.0540,0.0840,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101,AdoptAPlatoon Soldier Support Effort - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11174,74-2918904,87.3,0.8890,0.0190,0.0900,0.09,0.23,-0.0660,0.0340,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
102,The Adoption Exchange - CO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10221,84-0793576,84.72,0.8070,0.1120,0.0800,0.08,0.33,-0.0380,0.3180,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
103,ADRA International - MD,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8078,52-1314847,87.18,0.8060,0.1660,0.0260,0.02,1.06,-0.0540,0.1130,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
104,Advance Illinois - IL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17420,26-2052733,88.24,0.7800,0.1580,0.0610,0.06,0.88,0.0600,0.0810,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
105,Advancement Project - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16010,95-4835230,88.06,0.8640,0.0540,0.0810,0.08,0.89,0.0120,0.1120,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
106,Advancing Native Missions - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3216,75-2402759,85.85,0.8820,0.0760,0.0410,0.04,0.22,-0.1010,0.0560,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
107,Adventist Frontier Missions - MI,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5299,38-2635531,94.74,0.8640,0.0820,0.0530,0.05,1.26,0.0980,0.1310,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
108,Adventure Unlimited - CO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6574,43-0798771,86.13,0.7850,0.0790,0.1350,0.16,2,0.0220,0.0430,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
109,Advocates for Children of New Jersey - NJ,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13323,22-1695034,90.88,0.8750,0.0990,0.0250,0.03,5.71,0.0230,0.0900,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
110,Advocates for Children of New York - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10426,11-2247307,94.73,0.8490,0.0790,0.0700,0.07,1.26,0.1010,0.1230,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
111,The Advocates for Human Rights - MN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5261,36-3292374,90.07,0.8940,0.0500,0.0550,0.06,0.36,0.0150,0.1670,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
112,Advocates for Youth - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5408,52-1173590,91.91,0.9210,0.0010,0.0760,0.07,0.83,0.0940,0.0910,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
113,Advocates International - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6263,54-1646669,95.49,0.9010,0.0030,0.0940,0.07,1.06,0.0060,0.0090,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
114,Affirmations - MI,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9504,38-2882823,84.31,0.8030,0.0940,0.1020,0.16,2.98,-0.0400,0.0420,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
115,Afikim Foundation - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15900,71-0866051,74.37,0.8610,0.0900,0.0470,0.05,< 0.01,0.0280,1.2520,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
116,The African American Museum in Philadelphia - PA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14831,23-1941617,76.26,0.7070,0.2420,0.0500,0.07,1.51,-0.1640,0.0830,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
117,African Bible Colleges - MS,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13962,64-0592533,85.49,0.8320,0.0780,0.0890,0.12,0.45,-0.0230,0.1670,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
118,African Enterprise - WA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5857,95-2275044,77.53,0.6180,0.2810,0.1000,0.10,0.75,-0.0250,0.0090,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
119,African Leadership - TN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9463,31-1736706,85.79,0.7740,0.1380,0.0860,0.09,0.1,-0.1840,0.0790,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
120,African Leadership and Reconciliation Ministries - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12539,31-1660877,85.23,0.8270,0.0890,0.0830,0.08,0.17,-0.0420,0.0270,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
121,African Leadership Foundation - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16546,83-0425133,82.24,0.9180,0.0390,0.0420,0.04,0.25,-0.1150,0.1700,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
122,African Wildlife Foundation - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3219,52-0781390,88.17,0.8430,0.0390,0.1160,0.11,1.45,0.0150,0.0640,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
123,Africare - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3220,23-7116952,78.62,0.9380,0.0470,0.0130,< $0.01,0.01,-0.2000,0.8680,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
124,AFS-USA - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3222,39-1711417,82.12,0.9000,0.0590,0.0400,0.10,0.24,-0.0400,0.2810,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
125,Afterschool Alliance - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11694,52-2275123,91.45,0.9180,0.0510,0.0300,0.02,1.12,0.1960,0.2590,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
126,After-School All-Stars - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8074,95-4441208,94.81,0.8100,0.1090,0.0800,0.08,0.57,0.3930,0.1530,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
127,"Aga Khan Foundation, USA - DC",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8881,52-1231983,86.72,0.7850,0.2080,0.0050,< $0.01,8.17,-0.0040,0.0120,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
128,Agape - GA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17052,58-2372950,91.77,0.8050,0.0680,0.1260,0.08,2.03,0.4950,0.0310,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
129,Agape International Missions - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16103,94-3100052,95.47,0.9120,0.0340,0.0520,0.04,0.77,0.1810,0.0530,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
130,Agape Villages - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5635,68-0226944,82.32,0.9000,0.0600,0.0380,0.09,< 0.01,0.0930,6.1210,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
131,Agriculture Future of America - MO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15337,43-1759425,96.95,0.7950,0.1330,0.0710,0.06,1.56,0.0990,0.0220,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
132,Agros International - WA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16777,91-1276578,78.89,0.7190,0.0850,0.1940,0.26,0.65,-0.0370,0.1910,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
133,Agudath Israel of America - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3223,13-5604164,80.88,0.8690,0.1150,0.0150,0.03,0.93,-0.0020,0.2320,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
134,'Aha Pūnana Leo - HI,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16012,99-0226111,86.46,0.8250,0.1660,0.0080,< $0.01,2.64,0.0670,0.0480,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
135,Ahavas Tzedaka - NJ,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17226,22-3719783,56.16,0.8290,0.0510,0.1180,0.11,0.04,0.0840,0.0550,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
136,AHRC New York City Foundation - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12270,13-3779611,76.66,0.5750,0.1870,0.2370,0.16,14.15,-0.0040,0.0110,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
137,AID FOR AIDS International - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11185,13-3954568,80.96,0.9560,0.0130,0.0300,0.03,< 0.01,0.0670,5.0910,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
138,Aid For Friends - PA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9407,23-2072722,75.04,0.9220,0.0540,0.0220,0.02,0.9,-0.0450,0.0130,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
139,Aid for Starving Children - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12770,52-1224507,72.71,0.9460,0.0150,0.0370,0.03,0.02,-0.0240,0.1280,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
140,AIDS Action Committee of Massachusetts - MA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5063,22-2707246,85.38,0.8530,0.1090,0.0370,0.03,0.38,-0.0370,0.2070,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
141,AIDS Community Research Initiative of America - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8802,13-3632234,65.81,0.6490,0.1610,0.1890,0.19,0.16,-0.0250,0.5510,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
142,AIDS Foundation Houston - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5707,76-0073661,87.43,0.7130,0.1940,0.0910,0.09,0.64,0.0060,0.0580,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
143,AIDS Project Los Angeles - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3224,95-3842506,81,0.7030,0.1430,0.1520,0.15,0.9,-0.1210,0.1190,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
144,AIDS United - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6235,52-1706646,90.91,0.9310,0.0540,0.0140,< $0.01,0.61,-0.0280,0.0970,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
145,AIDS Vaccine Advocacy Coalition - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11087,94-3240841,96.66,0.8970,0.0870,0.0140,< $0.01,1.14,0.2700,0.2730,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
146,AIM for Seva - PA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11738,11-3573392,94.74,0.8590,0.0440,0.0950,0.08,0.56,0.1090,0.0060,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
147,The AIMS Project - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3803,94-3231546,82.91,0.9740,0.0210,0.0040,< $0.01,4.37,-0.0170,0.0020,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
148,Air Force Aid Society - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6492,54-1797281,95.37,0.8320,0.1370,0.0300,0.07,13.27,0.0300,0.0080,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
149,Air Force Enlisted Village - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8760,23-7078212,90.13,0.8930,0.0570,0.0490,0.19,2.36,0.0510,0.4930,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
150,Air Force Museum Foundation - OH,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6890,31-0668800,79.23,0.6300,0.2480,0.1210,0.19,3.99,0.0110,0.1890,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
151,Air Warrior Courage Foundation - MD,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13296,77-0490412,91.36,0.9610,0.0270,0.0110,< $0.01,4.37,-0.0420,< 0.1%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
